ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,63708,5301,"Census Tract 832, Kings County, NY",14000US36047083200
2016,2016,0,Total,56726,13837,"Census Tract 834, Kings County, NY",14000US36047083400
2016,2016,0,Total,67454,10157,"Census Tract 836, Kings County, NY",14000US36047083600
2016,2016,0,Total,53438,20642,"Census Tract 838, Kings County, NY",14000US36047083800
2016,2016,0,Total,51534,3230,"Census Tract 840, Kings County, NY",14000US36047084000
2016,2016,0,Total,53594,11390,"Census Tract 846, Kings County, NY",14000US36047084600
2016,2016,0,Total,54120,10300,"Census Tract 848, Kings County, NY",14000US36047084800
2016,2016,0,Total,70208,24088,"Census Tract 850, Kings County, NY",14000US36047085000
2016,2016,0,Total,47763,13108,"Census Tract 854, Kings County, NY",14000US36047085400
2016,2016,0,Total,49657,8418,"Census Tract 856, Kings County, NY",14000US36047085600
2016,2016,0,Total,52344,6797,"Census Tract 858, Kings County, NY",14000US36047085800
2016,2016,0,Total,51333,9860,"Census Tract 860, Kings County, NY",14000US36047086000
2016,2016,0,Total,48750,8531,"Census Tract 862, Kings County, NY",14000US36047086200
2016,2016,0,Total,41538,8856,"Census Tract 864, Kings County, NY",14000US36047086400
2016,2016,0,Total,45451,6380,"Census Tract 866, Kings County, NY",14000US36047086600
2016,2016,0,Total,57850,16915,"Census Tract 868, Kings County, NY",14000US36047086800
2016,2016,0,Total,35938,14253,"Census Tract 870, Kings County, NY",14000US36047087000
2016,2016,0,Total,40965,6965,"Census Tract 872, Kings County, NY",14000US36047087200
2016,2016,0,Total,29656,6375,"Census Tract 874.01, Kings County, NY",14000US36047087401
2016,2016,0,Total,31712,10799,"Census Tract 876, Kings County, NY",14000US36047087600
2016,2016,0,Total,36693,6166,"Census Tract 878, Kings County, NY",14000US36047087800
2016,2016,0,Total,50302,15010,"Census Tract 880, Kings County, NY",14000US36047088000
2016,2016,0,Total,48043,9050,"Census Tract 882, Kings County, NY",14000US36047088200
2016,2016,0,Total,43099,3746,"Census Tract 884, Kings County, NY",14000US36047088400
2016,2016,0,Total,37359,11162,"Census Tract 886, Kings County, NY",14000US36047088600
2016,2016,0,Total,45131,4480,"Census Tract 888, Kings County, NY",14000US36047088800
2016,2016,0,Total,29082,3177,"Census Tract 890, Kings County, NY",14000US36047089000
2016,2016,0,Total,20528,4307,"Census Tract 892, Kings County, NY",14000US36047089200
2016,2016,0,Total,41269,8304,"Census Tract 894, Kings County, NY",14000US36047089400
2016,2016,0,Total,37168,5748,"Census Tract 896, Kings County, NY",14000US36047089600
2016,2016,0,Total,40000,13353,"Census Tract 898, Kings County, NY",14000US36047089800
2016,2016,0,Total,25049,6084,"Census Tract 900, Kings County, NY",14000US36047090000
2016,2016,0,Total,41250,11650,"Census Tract 902, Kings County, NY",14000US36047090200
2016,2016,0,Total,14500,5594,"Census Tract 906, Kings County, NY",14000US36047090600
2016,2016,0,Total,12052,3585,"Census Tract 908, Kings County, NY",14000US36047090800
2016,2016,0,Total,11014,2567,"Census Tract 910, Kings County, NY",14000US36047091000
2016,2016,0,Total,21747,3703,"Census Tract 912, Kings County, NY",14000US36047091200
2016,2016,0,Total,32610,5126,"Census Tract 916, Kings County, NY",14000US36047091600
2016,2016,0,Total,30326,9172,"Census Tract 918, Kings County, NY",14000US36047091800
2016,2016,0,Total,39570,11765,"Census Tract 920, Kings County, NY",14000US36047092000
2016,2016,0,Total,39934,17720,"Census Tract 922, Kings County, NY",14000US36047092200
2016,2016,0,Total,36500,9109,"Census Tract 924, Kings County, NY",14000US36047092400
2016,2016,0,Total,51306,6804,"Census Tract 928, Kings County, NY",14000US36047092800
2016,2016,0,Total,58914,5138,"Census Tract 930, Kings County, NY",14000US36047093000
2016,2016,0,Total,86563,28708,"Census Tract 932, Kings County, NY",14000US36047093200
2016,2016,0,Total,48941,6728,"Census Tract 934, Kings County, NY",14000US36047093400
2016,2016,0,Total,72813,18582,"Census Tract 936, Kings County, NY",14000US36047093600
2016,2016,0,Total,38631,9794,"Census Tract 938, Kings County, NY",14000US36047093800
2016,2016,0,Total,71591,17420,"Census Tract 944.01, Kings County, NY",14000US36047094401
2016,2016,0,Total,17000,2697,"Census Tract 944.02, Kings County, NY",14000US36047094402
2016,2016,0,Total,58026,8159,"Census Tract 946, Kings County, NY",14000US36047094600
2016,2016,0,Total,73472,16038,"Census Tract 950, Kings County, NY",14000US36047095000
2016,2016,0,Total,65500,19454,"Census Tract 954, Kings County, NY",14000US36047095400
2016,2016,0,Total,63456,10047,"Census Tract 956, Kings County, NY",14000US36047095600
