name,count
RUDY ,27
CHELSEA ,27
JOY,27
GINO,27
MAISIE,27
DIVA ,27
KAYLA,27
ABBEY,27
MOLLIE,27
NOLA,27
BANJO,27
MINDY,27
ALFIE ,27
GEMMA,27
WRIGLEY,27
ROGER,27
COCONUT,27
WILLY,27
BOOTS,27
ODIE,27
ARIEL,27
HUDSON ,27
SAMANTHA ,27
PICKLE,27
APOLLO ,27
MADDY,26
REILLY,26
BISHOP,26
BORIS,26
CLOVER,26
HAPPY ,26
KODY,26
LYLA,26
MAXIE,26
FINLEY,26
RUSSELL,26
BUTTER,26
LENNY,26
RICKY ,26
ALLIE,26
NENA ,26
JACOB,26
KINGSTON,26
COMET,26
WOODY,26
QUEENIE,26
HOLLY ,26
ARLO,26
MAXI,26
BLACK ,26
SNUGGLES,26
JET,26
DIXIE ,26
LIZZIE,25
SPARKLE,25
JESSIE ,25
HACHI,25
HUMPHREY,25
BENSON,25
MASON ,25
FINNEGAN,25
XIAO ,25
BILLIE,25
LIBBY,25
NANA,25
BEAN,25
ROXANNE,25
TIMMY,25
TIKI,25
PARIS ,25
BIBI,25
TOBI,25
JADA,25
DOLLY ,25
DESTINY,25
PETER,25
JAX ,25
MUNECA,25
SWEET ,25
MOE,25
SHERLOCK,25
SUNNY ,25
MERLIN,25
ANGIE,25
BIRDIE,25
MYA,25
CHINA,25
SAMPSON,25
NOEL,25
DYLAN ,24
CJ,24
OSO,24
MARCUS,24
AURORA,24
ANNABELLE,24
KOKO ,24
BUTTERS,24
DARLA,24
PUCK,24
MINI,24
RICO ,24
BO ,24
LALA,24
REMI,24
CLEOPATRA,24
WAFFLES,24
KATIE ,24
OLLIE ,24
JAZZ,24
CHUCKY,24
FRECKLES,24
DINO ,24
THOMAS,24
COPPER,24
LULA,24
CHANEL ,23
AUSTIN,23
BODIE,23
MUNCHKIN,23
SKYLAR,23
SNOWBALL ,23
NIKKI ,23
LAIKA,23
NATHAN,23
AJ,23
ARCHER,23
SARAH,23
GHOST,23
HAMILTON,23
THOR ,23
SWEETIE,23
KAYA,23
PHOEBE ,23
TASHA,23
BULLET,23
ROO,23
MAISY,23
EBONY,23
RUPERT,23
DUNKIN,23
MISTY ,23
MANGO,23
BILLY ,23
EDIE,23
VINNY,23
JUNE,23
BIG ,23
SHERMAN,23
CAPTAIN,23
JAY,23
FREDDY,23
PETEY ,23
MILLIE ,23
FENDI,22
CASPER ,22
JOE,22
SEAMUS,22
CHICA,22
SABLE,22
THUNDER,22
ANNIE ,22
HENDRIX,22
BRODIE,22
COFFEE,22
KEIKO,22
MAMA,22
SUZIE,22
PATCHES ,22
ROSCOE ,22
MEEKO,22
CHIQUITA,22
SCARLET,22
CRYSTAL,22
CUDDLES,22
ROY,22
KILO,22
NICK,22
GOOSE,22
GRETA,22
DAPHNE,22
PETUNIA,22
LOU,22
JAY ,22
BLONDIE,22
DUDLEY,22
DULCE,22
BENNY ,22
BRONX,22
PUFFY,22
CARTER,22
UNKNOWN ,22
INDY,22
ELVIS ,22
REESES,22
BIJOU,22
TRUFFLE,21
BAGEL,21
MARSHMALLOW,21
CALVIN,21
PORKCHOP,21
JIMMY ,21
MARIO,21
ALVIN,21
DARBY,21
ARTHUR,21
OTIS ,21
STAR ,21
RIVER,21
IZZY ,21
SKY ,21
BLANCA,21
ZARA,21
DARCY,21
OLIVIA ,21
CLEO ,21
LEXIE ,21
VENUS,21
TIFFANY ,21
CARLY,21
ATTICUS,21
MUFFIN ,21
PAPI,21
BANE,21
KAISER,21
MEATBALL,21
KARMA,21
BISCUIT ,21
AUTUMN,21
SNOWY ,21
CESAR,21
CHICHI,21
TREVOR,21
REESE,21
BARON,21
