UID,Borough,BreedName
316,Queens,Weimaraner
317,Bronx,Unknown
318,Manhattan,Labrador Retriever
319,Manhattan,American Pit Bull Terrier/Pit Bull
320,Queens,Havanese
321,Bronx,Chihuahua
322,Manhattan,American Pit Bull Mix / Pit Bull Mix
323,Queens,Vizsla
324,Queens,Yorkshire Terrier
325,Queens,Maltese
326,Manhattan,American Pit Bull Terrier/Pit Bull
327,Brooklyn,American Pit Bull Terrier/Pit Bull
328,Brooklyn,Jack Russell Terrier
329,Brooklyn,German Shepherd Dog
330,Manhattan,Miniature Schnauzer
331,Queens,Unknown
332,Manhattan,Shih Tzu
333,Queens,Maltese
334,Manhattan,Pomeranian
335,Manhattan,"Bull Dog, English"
336,Brooklyn,"Poodle, Miniature"
337,Brooklyn,Unknown
338,Brooklyn,Shih Tzu
339,Brooklyn,Pug
340,Brooklyn,"Poodle, Standard"
341,Queens,German Shepherd Dog
342,Bronx,Puggle
343,Manhattan,Chihuahua
344,Manhattan,Wire Fox Terrier
345,Queens,German Shepherd Dog
346,Manhattan,Brussels Griffon
347,Manhattan,Jack Russell Terrier
348,Manhattan,Havanese
349,Manhattan,Pug
350,Manhattan,"Mastiff, Bull"
351,Manhattan,Labrador Retriever Crossbreed
352,Manhattan,Labrador Retriever
353,Bronx,Unknown
354,Brooklyn,Miniature Pinscher
355,Manhattan,"Poodle, Miniature"
356,Manhattan,Unknown
357,Brooklyn,German Shepherd Crossbreed
358,Brooklyn,"Poodle, Standard"
359,Brooklyn,Unknown
360,Manhattan,Beagle
361,Brooklyn,American Pit Bull Terrier/Pit Bull
362,Brooklyn,Chihuahua
363,Manhattan,German Wirehaired Pointer
364,Bronx,Shih Tzu
365,Brooklyn,Chihuahua
366,Bronx,Dachshund Smooth Coat
367,Manhattan,Dachshund Smooth Coat
368,Queens,Chow Chow
369,Staten Island,Unknown
370,Manhattan,Beagle
371,Queens,Poodle
372,Staten Island,Border Collie
373,Manhattan,"Welsh Corgi, Cardigan"
374,Manhattan,Shetland Sheepdog
375,Manhattan,German Shepherd Dog
376,Brooklyn,English Setter
377,Manhattan,Unknown
378,Brooklyn,Maltese
379,Queens,Papillon
380,Staten Island,Unknown
381,Manhattan,Dachshund
382,Staten Island,Rhodesian Ridgeback
383,Manhattan,Puggle
384,Staten Island,Rhodesian Ridgeback
385,Queens,Chihuahua
386,Queens,Yorkshire Terrier
387,Queens,Lhasa Apso
388,Bronx,Labrador Retriever Crossbreed
389,Queens,Unknown
390,Manhattan,Chihuahua
391,Bronx,Rottweiler
392,Brooklyn,Dalmatian
393,Queens,Golden Retriever
394,Brooklyn,Dachshund Smooth Coat
395,Manhattan,Norwich Terrier
396,Manhattan,Yorkshire Terrier
397,Brooklyn,Rhodesian Ridgeback
398,Manhattan,Wheaton Terrier
399,Manhattan,Yorkshire Terrier
400,Manhattan,Yorkshire Terrier
401,Manhattan,German Shepherd Dog
402,Manhattan,Unknown
403,Manhattan,Boston Terrier
404,Manhattan,"Poodle, Standard"
405,Manhattan,Unknown
406,Manhattan,Unknown
407,Brooklyn,Yorkshire Terrier
408,Bronx,Collie Crossbreed
409,Staten Island,Cane Corso
410,Manhattan,"Poodle, Toy"
411,Brooklyn,Chihuahua
412,Brooklyn,Maltese
413,Brooklyn,American Pit Bull Terrier/Pit Bull
414,Brooklyn,Maltese
415,Manhattan,Dachshund Smooth Coat
416,Manhattan,Vizsla
417,Manhattan,Havanese
418,Queens,Chihuahua
419,Queens,American Pit Bull Mix / Pit Bull Mix
420,Brooklyn,Jack Russell Terrier
421,Queens,Shih Tzu
422,Manhattan,Labrador Retriever Crossbreed
423,Bronx,Shih Tzu
424,Manhattan,Labradoodle
425,Manhattan,Dachshund
426,Manhattan,"Poodle, Toy"
427,Manhattan,Cocker Spaniel
428,Brooklyn,Chihuahua
429,Brooklyn,Unknown
430,Brooklyn,Golden Retriever
431,Queens,Labrador Retriever Crossbreed
432,Manhattan,Mastiff
433,Queens,Beagle
434,Manhattan,Mastiff
435,Brooklyn,Chihuahua
436,Manhattan,Unknown
437,Brooklyn,Cane Corso
438,Queens,Bichon Frise
439,Brooklyn,Toy Fox Terrier
440,Brooklyn,Poodle
441,Brooklyn,Unknown
442,Staten Island,Greyhound
443,Manhattan,Chihuahua
444,Staten Island,Chihuahua
445,Manhattan,"Poodle, Miniature"
446,Bronx,Unknown
447,Manhattan,Labrador Retriever
448,Brooklyn,Belgian Malinois
449,Brooklyn,Yorkshire Terrier
450,Staten Island,Unknown
451,Brooklyn,"Bull Dog, French"
452,Brooklyn,Yorkshire Terrier
453,Queens,Labrador Retriever
454,Brooklyn,Unknown
455,Brooklyn,German Shepherd Crossbreed
456,Brooklyn,Jack Russell Terrier
457,Manhattan,Shih Tzu
458,Queens,Yorkshire Terrier
459,Manhattan,"Welsh Corgi, Cardigan"
460,Manhattan,Unknown
461,Manhattan,American Staffordshire Terrier 
462,Brooklyn,Unknown
463,Queens,Miniature American Shepherd
464,Manhattan,Cotton De Tulear
465,Manhattan,"Poodle, Miniature"
466,Brooklyn,Labrador Retriever
467,Manhattan,Standard Schnauzer
468,Manhattan,French Bulldog
469,Queens,Shih Tzu
470,Brooklyn,Border Collie
471,Manhattan,Chihuahua
472,Manhattan,Miniature American Shepherd
473,Queens,Siberian Husky
474,Brooklyn,Labrador Retriever Crossbreed
475,Manhattan,Yorkshire Terrier
476,Manhattan,German Shepherd Crossbreed
477,Manhattan,"Bull Dog, French"
478,Brooklyn,Border Collie
479,Brooklyn,Puggle
480,Manhattan,Siberian Husky
481,Manhattan,Labradoodle
482,Brooklyn,Beagle
483,Brooklyn,German Shepherd Crossbreed
484,Bronx,Unknown
485,Brooklyn,Yorkshire Terrier
486,Queens,Maltese
487,Manhattan,Australian Shepherd
488,Manhattan,Shih Tzu
489,Manhattan,Shih Tzu
490,Manhattan,Maltese
491,Queens,Unknown
492,Manhattan,Yorkshire Terrier
493,Bronx,Rottweiler
494,Queens,Staffordshire Bull Terrier
495,Queens,Labrador Retriever
496,Queens,Brittany Spaniel
497,Manhattan,Labrador Retriever
498,Queens,Unknown
499,Queens,Silky Terrier
500,Brooklyn,"Poodle, Standard"
501,Manhattan,Unknown
502,Brooklyn,Unknown
503,Queens,Boston Terrier
504,Manhattan,Bassett Hound
505,Manhattan,Maltese
506,Manhattan,"Schnauzer, Standard"
507,Manhattan,Lhasa Apso
508,Manhattan,Pomeranian
509,Manhattan,Golden Retriever
510,Manhattan,Labrador Retriever Crossbreed
511,Manhattan,Unknown
512,Manhattan,Havanese
513,Manhattan,Beagle Crossbreed
514,Manhattan,Shih Tzu
515,Manhattan,Labradoodle
516,Staten Island,Yorkshire Terrier
517,Bronx,Unknown
518,Brooklyn,"Bull Dog, French"
519,Bronx,Jack Russell Terrier
520,Manhattan,Labradoodle
521,Manhattan,"Dachshund, Long Haired Miniature"
522,Manhattan,Golden Retriever
523,Manhattan,Vizsla
524,Brooklyn,Unknown
525,Manhattan,Golden Retriever
526,Brooklyn,"Collie, Smooth Coat"
527,Brooklyn,Shih Tzu
528,Manhattan,"Schnauzer, Miniature"
529,Queens,Maltese
530,Manhattan,Golden Retriever
531,Manhattan,Unknown
532,Brooklyn,Unknown
533,Bronx,Unknown
534,Manhattan,"Bull Dog, French"
535,Brooklyn,Chihuahua
536,Brooklyn,Labrador Retriever Crossbreed
537,Brooklyn,Labrador Retriever
538,Queens,Pomeranian
539,Manhattan,Labrador Retriever Crossbreed
540,Manhattan,American English Coonhound
541,Queens,Jack Russell Terrier
542,Brooklyn,Labrador Retriever Crossbreed
543,Queens,Jack Russell Terrier
544,Manhattan,Australian Shepherd
545,Manhattan,Unknown
546,Brooklyn,German Shepherd Dog
547,Manhattan,Shih Tzu
548,Queens,Collie Crossbreed
549,Manhattan,Labrador Retriever
550,Queens,Border Collie
551,Manhattan,French Bulldog
552,Manhattan,Portuguese Water Dog
553,Manhattan,"Poodle, Miniature"
554,Manhattan,Unknown
555,Manhattan,Labrador Retriever
556,Manhattan,Chihuahua
557,Manhattan,Chihuahua
558,Brooklyn,Miniature Pinscher
559,Manhattan,Beagle Crossbreed
560,Brooklyn,"Bull Dog, French"
561,Manhattan,Beagle Crossbreed
562,Staten Island,Doberman Pinscher
563,Brooklyn,Jack Russell Terrier
564,Staten Island,Shih Tzu
565,Staten Island,Silky Terrier
566,Queens,Miniature Pinscher
567,Queens,Labrador Retriever
568,Queens,Beagle
569,Staten Island,Doberman Pinscher
570,Brooklyn,Rhodesian Ridgeback
571,Staten Island,Rottweiler
572,Manhattan,Yorkshire Terrier
573,Manhattan,American Pit Bull Mix / Pit Bull Mix
574,Manhattan,Shiba Inu
575,Manhattan,Puggle
576,Manhattan,"Schnauzer, Miniature"
577,Brooklyn,Bichon Frise
578,Manhattan,Yorkshire Terrier
579,Manhattan,Yorkshire Terrier
580,Manhattan,Border Terrier
581,Manhattan,"Poodle, Miniature"
582,Manhattan,Yorkshire Terrier
583,Manhattan,"Poodle, Toy"
584,Bronx,German Shepherd Crossbreed
585,Queens,Labrador Retriever Crossbreed
586,Queens,Beagle Crossbreed
587,Manhattan,Yorkshire Terrier
588,Brooklyn,Chihuahua
589,Bronx,Unknown
590,Manhattan,Yorkshire Terrier
591,Queens,Dachshund
592,Queens,Beagle Crossbreed
593,Bronx,American Pit Bull Mix / Pit Bull Mix
594,Brooklyn,Bichon Frise
595,Manhattan,Poodle
596,Brooklyn,Shiba Inu
597,Manhattan,American Pit Bull Mix / Pit Bull Mix
598,Queens,German Shepherd Crossbreed
599,Brooklyn,Belgian Malinois
600,Brooklyn,Scottish Terrier
601,Manhattan,Maltese
602,Manhattan,Beagle
603,Manhattan,Maltese
604,Queens,German Shepherd Crossbreed
605,Manhattan,Beagle
606,Queens,"Schnauzer, Standard"
607,Manhattan,Cavalier King Charles Spaniel
608,Brooklyn,Bull Terrier
609,Brooklyn,"Bull Dog, English"
610,Bronx,Chihuahua
611,Manhattan,American Pit Bull Mix / Pit Bull Mix
612,Brooklyn,Unknown
613,Manhattan,Unknown
614,Brooklyn,Siberian Husky
615,Queens,"Poodle, Miniature"
616,Brooklyn,Unknown
617,Queens,German Shepherd Dog
618,Brooklyn,"Bull Dog, English"
619,Brooklyn,Pomeranian
620,Queens,Yorkshire Terrier
621,Manhattan,French Bulldog
622,Bronx,Schipperkee
623,Brooklyn,Cocker Spaniel
624,Brooklyn,Golden Retriever
625,Queens,Labrador Retriever
626,Brooklyn,Brittany Spaniel
627,Queens,Labrador Retriever Crossbreed
628,Brooklyn,American Pit Bull Terrier/Pit Bull
629,Manhattan,Norfolk Terrier
630,Brooklyn,Scottish Terrier
631,Manhattan,Pekingese
632,Brooklyn,Yorkshire Terrier
633,Brooklyn,Wheaton Terrier
634,Queens,German Shepherd Dog
635,Brooklyn,Shih Tzu
636,Manhattan,Shiba Inu
637,Manhattan,Pug
638,Brooklyn,Shih Tzu
639,Brooklyn,"Poodle, Toy"
640,Brooklyn,Golden Retriever
641,Manhattan,Great Dane
642,Manhattan,Shiba Inu
643,Manhattan,Chihuahua
644,Manhattan,Poodle
645,Manhattan,Dachshund Smooth Coat Miniature
646,Manhattan,Lhasa Apso
647,Manhattan,Unknown
648,Brooklyn,Yorkshire Terrier
649,Brooklyn,Unknown
650,Manhattan,Beagle Crossbreed
651,Manhattan,Yorkshire Terrier
652,Manhattan,Maltese
653,Brooklyn,Unknown
654,Staten Island,"Poodle, Standard"
655,Staten Island,Unknown
656,Manhattan,Yorkshire Terrier
657,Queens,Bouvier Des Flandres
658,Manhattan,Labrador Retriever Crossbreed
659,Manhattan,Cane Corso
660,Manhattan,Labrador Retriever
661,Queens,Unknown
662,Queens,Unknown
663,Brooklyn,American Pit Bull Mix / Pit Bull Mix
664,Queens,Labrador Retriever
665,Brooklyn,Golden Retriever
666,Bronx,Shih Tzu
667,Queens,Unknown
668,Bronx,Australian Shepherd
669,Manhattan,Boston Terrier
670,Manhattan,Chihuahua
671,Manhattan,Dachshund Smooth Coat
672,Brooklyn,Bernese Mountain Dog
673,Manhattan,Newfoundland
674,Manhattan,Labrador Retriever Crossbreed
675,Queens,Cavalier King Charles Spaniel
676,Brooklyn,Labrador Retriever Crossbreed
677,Queens,Labrador Retriever Crossbreed
678,Manhattan,Dachshund Smooth Coat
679,Manhattan,"Poodle, Miniature"
680,Bronx,Shih Tzu
681,Manhattan,Australian Shepherd
682,Queens,Chihuahua
683,Brooklyn,Dachshund Smooth Coat Miniature
684,Brooklyn,Unknown
685,Queens,Pomeranian
686,Brooklyn,Maltese
687,Brooklyn,Chihuahua
688,Manhattan,French Bulldog
689,Brooklyn,"Shar-Pei, Chinese"
690,Manhattan,"Welsh Corgi, Pembroke"
691,Brooklyn,Unknown
692,Manhattan,Beagle
693,Manhattan,Shih Tzu
694,Brooklyn,Great Dane
695,Manhattan,German Shepherd Crossbreed
696,Manhattan,Havanese
697,Manhattan,Pomeranian
698,Manhattan,Pomeranian
699,Manhattan,Miniature Schnauzer
