UID,Borough,Gender
812,Queens,F
813,Manhattan,F
814,Queens,M
815,Bronx,F
816,Bronx,M
817,Staten Island,M
818,Brooklyn,M
819,Brooklyn,F
820,Staten Island,M
821,Manhattan,F
822,Manhattan,M
823,Queens,F
824,Queens,M
825,Brooklyn,M
826,Brooklyn,M
827,Queens,F
828,Manhattan,F
829,Manhattan,M
830,Manhattan,M
831,Manhattan,M
832,Staten Island,M
833,Staten Island,F
834,Manhattan,F
835,Manhattan,M
836,Brooklyn,M
837,Brooklyn,M
838,Manhattan,M
839,Manhattan,M
840,Manhattan,M
841,Manhattan,M
842,Manhattan,F
843,Manhattan,F
844,Manhattan,M
845,Manhattan,F
846,Manhattan,M
847,Brooklyn,M
848,Brooklyn,F
849,Manhattan,M
850,Manhattan,F
851,Queens,F
852,Manhattan,F
853,Brooklyn,M
854,Manhattan,M
855,Manhattan,F
856,Queens,M
857,Manhattan,M
858,Bronx,F
859,Staten Island,M
860,Manhattan,M
861,Manhattan,F
862,Bronx,M
863,Manhattan,F
864,Manhattan,M
865,Manhattan,F
866,Manhattan,M
867,Brooklyn,M
868,Brooklyn,M
869,Staten Island,F
870,Queens,F
871,Staten Island,F
872,Manhattan,M
873,Manhattan,M
874,Queens,M
875,Brooklyn,F
876,Manhattan,F
877,Queens,F
878,Bronx,F
879,Brooklyn,M
880,Manhattan,M
881,Manhattan,F
882,Staten Island,M
883,Brooklyn,M
884,Manhattan,F
885,Brooklyn,F
886,Manhattan,F
887,Brooklyn,M
888,Manhattan,M
889,Queens,F
890,Manhattan,F
891,Bronx,M
892,Queens,M
893,Brooklyn,M
894,Brooklyn,M
895,Queens,F
896,Manhattan,F
897,Brooklyn,M
898,Queens,M
899,Queens,F
900,Manhattan,M
901,Manhattan,F
902,Brooklyn,M
903,Manhattan,M
904,Manhattan,M
905,Manhattan,F
906,Manhattan,M
907,Manhattan,F
908,Queens,M
909,Manhattan,F
910,Brooklyn,F
911,Manhattan,M
912,Staten Island,F
913,Manhattan,M
914,Manhattan,M
915,Manhattan,M
916,Staten Island,F
917,Manhattan,F
918,Manhattan,F
919,Staten Island,M
920,Manhattan,M
921,Queens,M
922,Brooklyn,F
923,Queens,F
924,Manhattan,F
925,Brooklyn,M
926,Manhattan,M
927,Staten Island,F
928,Brooklyn,F
929,Bronx,M
930,Brooklyn,M
931,Staten Island,M
932,Brooklyn,F
933,Manhattan,M
934,Bronx,M
935,Queens,F
936,Brooklyn,M
937,Brooklyn,F
938,Manhattan,M
939,Manhattan,M
940,Bronx,M
941,Brooklyn,M
942,Queens,M
943,Staten Island,F
944,Staten Island,M
945,Bronx,M
946,Queens,M
947,Bronx,F
948,Brooklyn,M
949,Manhattan,F
950,Brooklyn,F
951,Bronx,F
952,Queens,F
953,Manhattan,M
954,Manhattan,M
955,Manhattan,M
956,Brooklyn,M
957,Manhattan,M
958,Manhattan,M
959,Bronx,F
960,Staten Island,F
961,Staten Island,M
962,Manhattan,F
963,Staten Island,F
964,Brooklyn,F
965,Queens,M
966,Queens,M
967,Manhattan,F
968,Brooklyn,M
969,Manhattan,M
970,Manhattan,F
971,Manhattan,F
972,Manhattan,M
973,Bronx,M
974,Brooklyn,F
975,Manhattan,M
976,Queens,F
977,Manhattan,F
978,Manhattan,F
979,Manhattan,M
980,Manhattan,F
981,Brooklyn,F
982,Manhattan,M
983,Queens,M
984,Manhattan,F
985,Manhattan,M
986,Brooklyn,M
987,Manhattan,M
988,Manhattan,F
989,Bronx,F
990,Brooklyn,M
991,Manhattan,F
992,Manhattan,M
993,Manhattan,M
994,Manhattan,M
995,Queens,M
996,Manhattan,M
997,Manhattan,F
998,Brooklyn,F
999,Brooklyn,F
1000,Bronx,F
1001,Queens,M
1002,Manhattan,M
1003,Queens,M
1004,Queens,M
1005,Brooklyn,F
1006,Manhattan,F
1007,Manhattan,M
1008,Manhattan,F
1009,Manhattan,M
1010,Brooklyn,M
1011,Brooklyn,M
1012,Queens,M
1013,Staten Island,F
1014,Queens,F
1015,Manhattan,F
1016,Staten Island,M
1017,Staten Island,M
1018,Brooklyn,M
1019,Manhattan,M
1020,Bronx,M
1021,Queens,F
1022,Queens,F
1023,Queens,M
1024,Brooklyn,F
1025,Manhattan,M
1026,Brooklyn,F
1027,Queens,F
1028,Manhattan,M
1029,Queens,F
1031,Bronx,M
1032,Manhattan,F
1033,Queens,F
1034,Bronx,M
1035,Staten Island,M
1036,Staten Island,M
1037,Manhattan,F
1038,Brooklyn,F
1039,Manhattan,F
1040,Brooklyn,M
1041,Staten Island,F
1042,Queens,M
1043,Bronx,F
1044,Manhattan,F
1045,Staten Island,M
1046,Staten Island,F
1047,Bronx,M
1048,Queens,F
1049,Manhattan,M
1050,Brooklyn,M
1051,Bronx,F
1052,Bronx,M
1053,Manhattan,F
1054,Bronx,F
1055,Brooklyn,M
1056,Manhattan,F
1057,Bronx,M
1058,Brooklyn,F
1059,Staten Island,M
1060,Bronx,F
1061,Brooklyn,F
1062,Brooklyn,F
1063,Brooklyn,M
1064,Manhattan,F
1065,Brooklyn,M
1066,Queens,M
1067,Manhattan,F
1068,Queens,M
1069,Brooklyn,M
1070,Manhattan,M
1071,Queens,F
1072,Brooklyn,M
1073,Manhattan,F
1074,Brooklyn,M
1075,Brooklyn,M
1076,Manhattan,F
1077,Manhattan,F
1078,Manhattan,M
1079,Manhattan,F
1080,Manhattan,F
1081,Manhattan,M
1082,Brooklyn,M
1083,Brooklyn,F
1084,Manhattan,F
1085,Manhattan,M
1086,Manhattan,F
1087,Manhattan,M
1088,Queens,F
1089,Bronx,M
1090,Queens,M
1091,Manhattan,M
1092,Queens,F
1093,Manhattan,M
1094,Brooklyn,M
1095,Manhattan,M
1096,Manhattan,M
1097,Brooklyn,M
1098,Manhattan,F
1099,Brooklyn,M
1100,Bronx,F
1101,Brooklyn,M
1102,Manhattan,M
1103,Manhattan,F
1104,Manhattan,F
1105,Queens,M
1106,Staten Island,F
1107,Queens,F
1108,Manhattan,M
1110,Manhattan,F
1111,Brooklyn,M
1112,Manhattan,F
1113,Staten Island,M
1114,Manhattan,F
1115,Manhattan,F
1116,Queens,F
1117,Queens,M
1118,Brooklyn,M
1119,Queens,F
1120,Queens,M
1121,Brooklyn,M
1122,Queens,F
1123,Manhattan,F
1124,Manhattan,M
1125,Manhattan,F
1126,Brooklyn,M
1127,Brooklyn,M
1128,Brooklyn,M
1129,Bronx,M
1130,Brooklyn,F
1131,Brooklyn,F
1132,Bronx,F
1133,Queens,M
1134,Manhattan,F
1135,Manhattan,M
1136,Manhattan,M
1137,Brooklyn,M
1138,Queens,M
1139,Manhattan,F
1140,Manhattan,M
1141,Staten Island,M
1142,Queens,F
1143,Manhattan,M
1144,Manhattan,M
1145,Bronx,M
1146,Queens,F
1147,Brooklyn,M
1148,Manhattan,F
1149,Bronx,F
1150,Queens,M
1151,Manhattan,M
1152,Bronx,M
1153,Manhattan,F
1154,Bronx,M
1155,Manhattan,F
1156,Brooklyn,M
1157,Manhattan,F
1158,Manhattan,M
1159,Manhattan,F
1160,Manhattan,M
1161,Manhattan,M
1162,Manhattan,M
1163,Manhattan,M
1164,Brooklyn,M
1165,Manhattan,F
1166,Queens,F
1167,Brooklyn,M
1168,Brooklyn,F
1169,Staten Island,F
