UID,Borough,Name
329,Brooklyn,COCO
330,Manhattan,CHRISTMAS
331,Queens,CHASE
332,Manhattan,BIANCA
333,Queens,BONNIE
334,Manhattan,HARLEY 
335,Manhattan,PORK 
336,Brooklyn,LULU 
337,Brooklyn,DINO 
338,Brooklyn,GRIBETZ 
339,Brooklyn,AUGIE
340,Brooklyn,DAISY 
341,Queens,KINLEY
342,Bronx,MURPHY
343,Manhattan,ROCKO
344,Manhattan,WENDELL
345,Queens,RANGER
346,Manhattan,MOJEAU 
347,Manhattan,SHASHI
348,Manhattan,TOBY
349,Manhattan,CODY 
350,Manhattan,BRIAN
351,Manhattan,DEXTER 
352,Manhattan,ARCHIE
353,Bronx,AJA
354,Brooklyn,AJAXX
355,Manhattan,OLIVER
356,Manhattan,GINNY
357,Brooklyn,LOKI
358,Brooklyn,FINLEY
359,Brooklyn,COOPER
360,Manhattan,BARNEY
361,Brooklyn,KYLA
362,Brooklyn,ROCKY 
363,Manhattan,WENDY
364,Bronx,CHARLIE
365,Brooklyn,Q
366,Bronx,BENNIE
367,Manhattan,BECK
368,Queens,BELLA
369,Staten Island,DUKE
370,Manhattan,SASHA
371,Queens,COCO
372,Staten Island,KODIE
373,Manhattan,COPPER
374,Manhattan,DASHWOOD
375,Manhattan,WYLIE
376,Brooklyn,OLIVER
377,Manhattan,SPIKE
378,Brooklyn,PEBBLE
379,Queens,LOUIE
380,Staten Island,DAYO
381,Manhattan,DARCY 
382,Staten Island,KUMBUKA
383,Manhattan,JAKE 
384,Staten Island,MCHUMBA
385,Queens,HUNDLEY
386,Queens,TIKUIOE
387,Queens,PRINCESS
388,Bronx,MADDIE
389,Queens,RAYE
390,Manhattan,RICKY 
391,Bronx,UMA
392,Brooklyn,LUCY 
393,Queens,SIMBA
394,Brooklyn,MAXIMUS
395,Manhattan,JAKE
396,Manhattan,MIDNITE
397,Brooklyn,LEO 
398,Manhattan,WINSTON 
399,Manhattan,OONA 
400,Manhattan,OZ 
401,Manhattan,FRANNY
402,Manhattan,PEYTON
403,Manhattan,LLOYD
404,Manhattan,EZE
405,Manhattan,GINGER
406,Manhattan,B
407,Brooklyn,VALENTINA
408,Bronx,BOOMER
409,Staten Island,MAXX 
410,Manhattan,MAXI
411,Brooklyn,JOANIE
412,Brooklyn,REILY 
413,Brooklyn,BLUE
414,Brooklyn,EDDIE 
415,Manhattan,QUEENIE 
416,Manhattan,INDIANA
417,Manhattan,LAYLA 
418,Queens,YOSHI
419,Queens,ZOEY
420,Brooklyn,BARKLEY
421,Queens,KIWI
422,Manhattan,BUDDY
423,Bronx,BUTCH
424,Manhattan,ALISTAIR
425,Manhattan,LOLA
426,Manhattan,ADELINE
427,Manhattan,BUDDY
428,Brooklyn,WILLIE
429,Brooklyn,DASHIELL 
430,Brooklyn,BOURNE
431,Queens,SEAVER
432,Manhattan,SENSATION
433,Queens,SIMBA 
434,Manhattan,TEMPTATION
435,Brooklyn,MAGGIE
436,Manhattan,BETSY 
437,Brooklyn,BLU
438,Queens,REMY
