UID,Borough,BirthMonth
405,Manhattan,7
406,Manhattan,7
407,Brooklyn,4
408,Bronx,5
409,Staten Island,7
410,Manhattan,9
411,Brooklyn,11
412,Brooklyn,12
413,Brooklyn,3
414,Brooklyn,9
415,Manhattan,4
416,Manhattan,8
417,Manhattan,4
418,Queens,3
419,Queens,11
420,Brooklyn,1
421,Queens,10
422,Manhattan,6
423,Bronx,12
424,Manhattan,6
425,Manhattan,12
426,Manhattan,5
427,Manhattan,6
428,Brooklyn,2
429,Brooklyn,1
430,Brooklyn,6
431,Queens,5
432,Manhattan,4
433,Queens,4
434,Manhattan,4
435,Brooklyn,6
436,Manhattan,3
437,Brooklyn,6
438,Queens,7
439,Brooklyn,8
440,Brooklyn,8
441,Brooklyn,5
442,Staten Island,1
443,Manhattan,4
444,Staten Island,11
445,Manhattan,1
446,Bronx,6
447,Manhattan,11
448,Brooklyn,10
449,Brooklyn,3
450,Staten Island,1
451,Brooklyn,11
452,Brooklyn,9
453,Queens,4
454,Brooklyn,1
455,Brooklyn,3
456,Brooklyn,8
457,Manhattan,7
458,Queens,8
459,Manhattan,9
460,Manhattan,1
461,Manhattan,6
462,Brooklyn,1
463,Queens,9
464,Manhattan,8
465,Manhattan,9
466,Brooklyn,2
467,Manhattan,8
468,Manhattan,4
469,Queens,7
470,Brooklyn,7
471,Manhattan,3
472,Manhattan,12
473,Queens,6
474,Brooklyn,12
475,Manhattan,12
476,Manhattan,5
477,Manhattan,5
478,Brooklyn,4
479,Brooklyn,12
480,Manhattan,5
481,Manhattan,5
482,Brooklyn,5
483,Brooklyn,5
484,Bronx,7
485,Brooklyn,6
486,Queens,3
487,Manhattan,5
488,Manhattan,1
489,Manhattan,5
490,Manhattan,6
491,Queens,3
492,Manhattan,6
493,Bronx,4
494,Queens,9
495,Queens,5
496,Queens,12
497,Manhattan,12
498,Queens,1
499,Queens,10
500,Brooklyn,6
501,Manhattan,2
502,Brooklyn,6
503,Queens,12
504,Manhattan,11
505,Manhattan,6
506,Manhattan,9
507,Manhattan,7
508,Manhattan,11
509,Manhattan,2
510,Manhattan,4
511,Manhattan,7
512,Manhattan,3
513,Manhattan,3
514,Manhattan,8
515,Manhattan,3
516,Staten Island,6
517,Bronx,10
