Tract,AvgHI2014,AvgHI2015,AvgHi2016,AverageHI
162,54105.67,54620.33,56357.67,55027.89
163,73607.33,73307.33,73523.67,73479.44
164,56784.25,65171.25,67402.25,63119.25
165,94718.00,92568.33,101180.33,96155.56
166,54546.50,56968.00,64002.75,58505.75
167,82555.33,82654.67,96030.67,87080.22
168,58419.67,58346.00,62905.00,59890.22
169,62573.25,67211.75,68426.50,66070.50
169.01,66808.00,73272.00,73594.00,71224.67
170,49682.67,51276.00,52658.67,51205.78
170.05,95000.00,100162.00,96500.00,97220.67
170.07,86992.00,77955.00,79107.00,81351.33
170.08,86473.00,83734.00,82750.00,84319.00
170.09,90737.00,91000.00,100181.00,93972.67
170.1,95401.00,90747.00,88477.00,91541.67
170.11,73398.00,74819.00,83400.00,77205.67
170.12,71844.00,71123.00,83125.00,75364.00
171,105928.50,111857.50,114413.50,110733.17
172,62489.33,55848.67,58495.33,58944.44
173,56745.00,56827.00,59091.67,57554.56
174,63705.00,67226.50,79204.50,70045.33
174.01,20607.00,21435.00,20288.00,20776.67
174.02,45516.00,37426.00,31705.00,38215.67
175,74361.50,79672.00,79230.00,77754.50
176,68187.00,70517.00,73811.00,70838.33
177,83007.00,91207.50,91977.00,88730.50
177.01,21295.00,25022.00,24847.00,23721.33
177.02,21782.00,23485.00,26946.00,24071.00
178,43425.67,45440.00,48955.33,45940.33
179,57687.00,54496.00,60265.00,57482.67
179.01,22233.00,21376.00,28987.00,24198.67
179.02,18662.00,20852.00,19912.00,19808.67
180,41805.33,49817.67,55745.33,49122.78
181,84912.67,80631.67,90103.33,85215.89
181.01,33888.00,39110.50,35211.00,36069.83
181.02,45687.50,44500.00,44471.50,44886.33
182,39272.33,44445.33,46387.33,43368.33
183,82478.67,85652.67,95920.00,88017.11
183.01,30782.00,29987.00,30104.00,30291.00
183.02,36181.00,31324.00,28822.00,32109.00
184,55515.33,54103.00,54466.33,54694.89
184.01,58939.00,59493.00,59750.00,59394.00
184.02,61333.00,54063.00,68074.00,61156.67
185,64078.50,59136.00,70757.00,64657.17
185.01,38803.00,41543.50,45756.50,42034.33
185.02,65869.00,66139.00,68703.00,66903.67
186,53085.67,52164.67,54124.67,53125.00
187,88033.00,85249.00,86968.00,86750.00
187.01,86250.00,78750.00,85268.00,83422.67
187.02,78827.00,83304.00,82197.00,81442.67
188,51247.67,51906.33,57056.67,53403.56
189,36397.33,35031.33,37690.33,36373.00
189.01,75795.00,62000.00,65421.00,67738.67
189.02,72750.00,67813.00,73945.00,71502.67
190,57025.67,59248.67,59426.33,58566.89
191,87656.50,80969.00,81294.00,83306.50
192,38139.33,40724.67,43320.33,40728.11
193,35124.67,36624.00,37327.33,36358.67
194,43566.25,48931.00,45992.00,46163.08
195,68192.00,75979.33,75731.67,73301.00
196,39924.00,43123.67,43091.33,42046.33
197,64914.33,65952.67,69450.00,66772.33
197.01,72708.00,72000.00,68092.00,70933.33
197.02,63564.00,63135.00,51740.00,59479.67
198,66270.50,65909.75,69357.75,67179.33
199,53657.75,56938.25,61920.50,57505.50
200,59866.33,56257.00,55543.33,57222.22
201,63984.67,63784.67,68693.00,65487.44
201.01,92679.00,82353.00,84327.00,86453.00
201.02,56157.00,54563.00,64375.00,58365.00
202,56791.67,64227.67,62104.33,61041.22
203,73594.00,71458.50,70057.00,71703.17
204,48790.00,48511.33,50067.67,49123.00
205,79487.67,82041.67,83774.67,81768.00
205.01,23904.00,23160.00,23194.00,23419.33
205.02,22519.00,15343.00,15776.00,17879.33
206,56945.33,64953.00,61638.33,61178.89
206.01,51300.00,76429.00,51293.00,59674.00
207,68656.00,66820.00,65183.50,66886.50
207.01,53697.00,60798.00,70391.00,61628.67
208,51560.33,52152.67,57431.00,53714.67
208.01,72933.00,75453.00,80567.00,76317.67
208.03,91053.00,91782.00,101176.00,94670.33
208.04,90455.00,88314.00,95417.00,91395.33
209,32025.00,27311.00,31396.00,30244.00
209.01,29457.00,32848.00,22212.00,28172.33
210,40352.50,37266.50,37759.00,38459.33
210.01,49240.00,48396.00,50400.00,49345.33
210.02,44474.00,43313.00,54393.00,47393.33
211,41605.00,40037.67,39604.00,40415.56
212,42633.75,44446.50,46948.00,44676.08
213,48512.50,45486.00,49313.00,47770.50
213.01,20500.00,16378.00,16420.00,17766.00
213.02,30075.00,30362.00,31443.00,30626.67
213.03,36921.00,37628.00,36759.00,37102.67
214,46068.67,50412.33,53412.00,49964.33
215,46662.50,47600.00,48099.50,47454.00
215.01,28622.00,26076.00,26817.00,27171.67
215.02,17664.00,18507.00,19494.00,18555.00
216,45516.33,47028.00,52797.00,48447.11
216.01,24914.00,25847.00,26152.00,25637.67
216.02,43996.00,41487.00,42835.00,42772.67
217,40629.00,38658.00,41126.00,40137.67
218,37244.33,40059.67,37812.00,38372.00
219,32221.00,35358.33,34960.00,34179.78
220,30968.33,33945.33,36927.33,33947.00
220.01,60558.00,61867.00,66683.00,63036.00
220.02,61575.00,57287.00,61765.00,60209.00
221,44222.00,37140.00,43011.00,41457.67
221.01,26875.00,25870.00,27000.00,26581.67
221.02,29129.00,30474.00,30784.00,30129.00
222,35219.00,35928.67,36142.67,35763.44
223,45291.50,42394.00,41235.00,42973.50
223.01,36406.00,37500.00,37583.00,37163.00
223.02,25608.00,24241.00,25309.00,25052.67
224,30098.50,31135.50,35047.00,32093.67
224.01,41101.00,43611.00,46250.00,43654.00
224.03,29531.00,38333.00,38967.00,35610.33
224.04,43119.00,42070.00,43856.00,43015.00
225,39419.50,38729.50,38827.50,38992.17
226,57575.00,59495.00,61571.33,59547.11
227,46679.00,50480.00,61878.00,53012.33
227.01,29000.00,29426.00,30218.00,29548.00
227.02,30905.00,23500.00,23438.00,25947.67
227.03,45465.00,45673.00,43106.00,44748.00
228,90860.25,36630.67,38089.67,58760.20
229,47151.00,43271.50,51700.50,47374.33
229.01,24365.00,24115.00,28750.00,25743.33
229.02,22953.00,24142.00,27743.00,24946.00
230,56566.50,54722.25,54790.50,55359.75
231,51283.50,53916.00,52923.50,52707.67
232,43679.25,43039.25,45548.75,44089.08
233,38799.00,37346.50,41982.00,39375.83
233.01,28402.00,26250.00,23023.00,25891.67
233.02,23000.00,22566.00,25710.00,23758.67
234,29038.00,31916.00,29211.50,30055.17
235,47150.00,47132.50,43086.00,45789.50
235.01,32152.50,31081.00,31022.00,31418.50
235.02,27267.00,25437.50,26803.50,26502.67
236,37070.50,38168.50,39647.75,38295.58
237,37553.00,37232.00,42054.00,38946.33
237.02,28824.00,32500.00,32176.00,31166.67
237.03,29926.00,27128.00,29447.00,28833.67
237.04,20263.00,20918.00,21822.00,21001.00
238,40100.67,39291.33,38451.67,39281.22
238.01,86175.00,86712.00,82410.00,85099.00
238.02,117292.00,114545.00,113750.00,115195.67
239,39788.33,40602.33,38003.33,39464.67
240,33162.33,33794.67,34608.00,33855.00
241,42026.33,44209.33,43727.00,43320.89
